"Big5 碼",造字圖,"IDS (請參考 http://goo.gl/3D2uoE)","IDS 動態圖片","ref 剎那字引: http://nccu.ksana.tw/kzy/",備註,,
B+8142,"{image: https://g0v.github.io/koktai/img/k/8142.png}",⿵⺇厶,"{image: http://漢字.意傳.台灣/宋體/⿵⺇厶.png}",,這個發現組字程式有bug,,
B+8144,"{image: https://g0v.github.io/koktai/img/k/8144.png}",⿰歹妥,"{image: http://漢字.意傳.台灣/宋體/⿰歹妥.png}",,,,
B+814f,"{image: https://g0v.github.io/koktai/img/k/814f.png}",⿰間見,"{image: http://漢字.意傳.台灣/宋體/⿰間見.png}",,,,
B+8151,"{image: https://g0v.github.io/koktai/img/k/8151.png}",⿰与乎,"{image: http://漢字.意傳.台灣/宋體/⿰与乎.png}",,,,
B+8153,"{image: https://g0v.github.io/koktai/img/k/8153.png}",⿸广⿱亠回,"{image: http://漢字.意傳.台灣/宋體/⿸广⿱亠回.png}",,,,
B+8154,"{image: https://g0v.github.io/koktai/img/k/8154.png}",⿰礻果,"{image: http://漢字.意傳.台灣/宋體/⿰礻果.png}",,,,
B+8155,"{image: https://g0v.github.io/koktai/img/k/8155.png}",⿰冫彥,"{image: http://漢字.意傳.台灣/宋體/⿰冫彥.png}",,,,
B+815c,"{image: https://g0v.github.io/koktai/img/k/815c.png}",⿱覀⿰革奇,"{image: http://漢字.意傳.台灣/宋體/⿱覀⿰革奇.png}",,,,
B+815e,"{image: https://g0v.github.io/koktai/img/k/815e.png}",⿰丨ㄋ,"{image: http://漢字.意傳.台灣/宋體/⿰丨ㄋ.png}",,,,
B+817a,"{image: https://g0v.github.io/koktai/img/k/817a.png}",⿰口吳,"{image: http://漢字.意傳.台灣/宋體/⿰口吳.png}",,,,
B+81be,"{image: https://g0v.github.io/koktai/img/k/81be.png}",⿰扌蒸,"{image: http://漢字.意傳.台灣/宋體/⿰扌蒸.png}",,,,
B+81c4,"{image: https://g0v.github.io/koktai/img/k/81c4.png}",⿰亻⿳⿶凵※儿夂,"{image: http://漢字.意傳.台灣/宋體/⿰亻⿳⿶凵※儿夂.png}",,,,
B+82ce,"{image: https://g0v.github.io/koktai/img/k/82ce.png}",⿰衮号,"{image: http://漢字.意傳.台灣/宋體/⿰衮号.png}",,,,
B+82e2,"{image: https://g0v.github.io/koktai/img/k/82e2.png}",⿰月咢,"{image: http://漢字.意傳.台灣/宋體/⿰月咢.png}",,,,
B+844b,"{image: https://g0v.github.io/koktai/img/k/844b.png}",⿰月霄,"{image: http://漢字.意傳.台灣/宋體/⿰月霄.png}",,,,
B+84c3,"{image: https://g0v.github.io/koktai/img/k/84c3.png}",⿰⻊虒,"{image: http://漢字.意傳.台灣/宋體/⿰⻊虒.png}",,,,
B+8546,"{image: https://g0v.github.io/koktai/img/k/8546.png}",⿰犭丶,"{image: http://漢字.意傳.台灣/宋體/⿰犭丶.png}",,,,
B+855a,"{image: https://g0v.github.io/koktai/img/k/855a.png}",⿱人水,"{image: http://漢字.意傳.台灣/宋體/⿱人水.png}",,,,
B+855d,"{image: https://g0v.github.io/koktai/img/k/855d.png}",⺢,"{image: http://漢字.意傳.台灣/宋體/⺢.png}",,,,
B+8561,"{image: https://g0v.github.io/koktai/img/k/8561.png}",⿱林月,"{image: http://漢字.意傳.台灣/宋體/⿱林月.png}",,,,
B+8567,"{image: https://g0v.github.io/koktai/img/k/8567.png}",☽,"{image: http://漢字.意傳.台灣/宋體/☽.png}",,,,
B+8569,"{image: https://g0v.github.io/koktai/img/k/8569.png}",⿰孑少,"{image: http://漢字.意傳.台灣/宋體/⿰孑少.png}",,,,
B+856f,"{image: https://g0v.github.io/koktai/img/k/856f.png}",⿰丨ㄋ,"{image: http://漢字.意傳.台灣/宋體/⿰丨ㄋ.png}",,,,
B+8575,"{image: https://g0v.github.io/koktai/img/k/8575.png}",,,,,,
B+85dd,"{image: https://g0v.github.io/koktai/img/k/85dd.png}","⿰ㆬ ͘","{image: http://漢字.意傳.台灣/宋體/⿰ㆬ ͘.png}",,,,
B+85e0,"{image: https://g0v.github.io/koktai/img/k/85e0.png}",⿱攸食,"{image: http://漢字.意傳.台灣/宋體/⿱攸食.png}",,,,
B+85e1,"{image: https://g0v.github.io/koktai/img/k/85e1.png}",⿱艹䙴,"{image: http://漢字.意傳.台灣/宋體/⿱艹䙴.png}",,,,
B+8e49,"{image: https://g0v.github.io/koktai/img/k/8e49.png}",⿰扌復,"{image: http://漢字.意傳.台灣/宋體/⿰扌復.png}",,,,
B+8e57,"{image: https://g0v.github.io/koktai/img/k/8e57.png}",⿰扌⿱天韭,"{image: http://漢字.意傳.台灣/宋體/⿰扌⿱天韭.png}",,,,
B+8e72,"{image: https://g0v.github.io/koktai/img/k/8e72.png}",⿰扌疊,"{image: http://漢字.意傳.台灣/宋體/⿰扌疊.png}",,,,
B+8e78,"{image: https://g0v.github.io/koktai/img/k/8e78.png}",⿰扌變,"{image: http://漢字.意傳.台灣/宋體/⿰扌變.png}",,,,
B+8e79,"{image: https://g0v.github.io/koktai/img/k/8e79.png}",⿰扌顯,"{image: http://漢字.意傳.台灣/宋體/⿰扌顯.png}",,,,
B+8eb9,"{image: https://g0v.github.io/koktai/img/k/8eb9.png}",⿰衤助,"{image: http://漢字.意傳.台灣/宋體/⿰衤助.png}",,,,
B+8ec0,"{image: https://g0v.github.io/koktai/img/k/8ec0.png}",⿰衤垂,"{image: http://漢字.意傳.台灣/宋體/⿰衤垂.png}",,,,
B+8ec8,"{image: https://g0v.github.io/koktai/img/k/8ec8.png}",丵,"{image: http://漢字.意傳.台灣/宋體/丵.png}",,,,
B+8ed8,"{image: https://g0v.github.io/koktai/img/k/8ed8.png}",⿱工土,"{image: http://漢字.意傳.台灣/宋體/⿱工土.png}",,,,
B+8ee2,"{image: https://g0v.github.io/koktai/img/k/8ee2.png}",⿰火⿱冖儿,"{image: http://漢字.意傳.台灣/宋體/⿰火⿱冖儿.png}",,,,
B+8ee6,"{image: https://g0v.github.io/koktai/img/k/8ee6.png}",⿱我心,"{image: http://漢字.意傳.台灣/宋體/⿱我心.png}",,,,
B+8eec,"{image: https://g0v.github.io/koktai/img/k/8eec.png}",⿰口兹,"{image: http://漢字.意傳.台灣/宋體/⿰口兹.png}",,,,
B+8eee,"{image: https://g0v.github.io/koktai/img/k/8eee.png}",⿰爪東,"{image: http://漢字.意傳.台灣/宋體/⿰爪東.png}",,,,
B+8f61,"{image: https://g0v.github.io/koktai/img/k/8f61.png}",,,,這個需要找到裡面那個的部件，還有外面那個部件，用全包含組,,
B+8f6f,"{image: https://g0v.github.io/koktai/img/k/8f6f.png}",⿰皮反,"{image: http://漢字.意傳.台灣/宋體/⿰皮反.png}",,,,
B+8f74,"{image: https://g0v.github.io/koktai/img/k/8f74.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,將來一樣得看unicode有無補完這部件囉,,
B+8fb1,"{image: https://g0v.github.io/koktai/img/k/8fb1.png}",,"{image: http://漢字.意傳.台灣/宋體/.png}",,,,
B+8fb3,"{image: https://g0v.github.io/koktai/img/k/8fb3.png}",⿱囪心,"{image: http://漢字.意傳.台灣/宋體/⿱囪心.png}",,,,
B+8fbd,"{image: https://g0v.github.io/koktai/img/k/8fbd.png}",⿱彼土,"{image: http://漢字.意傳.台灣/宋體/⿱彼土.png}",,,,
B+8fbe,"{image: https://g0v.github.io/koktai/img/k/8fbe.png}",⿱彼一土,"{image: http://漢字.意傳.台灣/宋體/⿱彼一土.png}",,,,
B+8fc3,"{image: https://g0v.github.io/koktai/img/k/8fc3.png}",⿰⻊令,"{image: http://漢字.意傳.台灣/宋體/⿰⻊令.png}",,,,
